Overall Food Insecurity Rate,# of Food Insecure Persons Overall,SNAP Threshold,% FI ≤ SNAP Threshold,% FI > SNAP Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Cost Per Meal,Weighted weekly $ needed by FI,Weighted Annual Food Budget Shortfall,Rural-Urban Continuum Code (2013),Rural-Urban Continuum Code (2023),Census Region,Census Division,FNS Region,Overall Food Insecurity Rate MissingFlag,Child Food Insecurity Rate MissingFlag,CountyFIPS
0.121,580.0,1.3,0.462,0.538,0.178,160.0,0.64,0.36,3.3,19.23,338000.0,9.0,9.0,South,West South Central,Southwest,0,0,05013
0.134,3780.0,1.3,0.486,0.514,0.123,760.0,0.86,0.14,3.36,19.57,2243000.0,6.0,6.0,South,West South Central,Southwest,0,0,05015
0.199,2070.0,1.3,0.713,0.287,0.364,840.0,0.76,0.24,3.36,19.59,1230000.0,7.0,7.0,South,West South Central,Southwest,0,0,05017
0.162,3500.0,1.3,0.569,0.431,0.224,930.0,0.69,0.31,3.39,19.72,2094000.0,7.0,7.0,South,West South Central,Southwest,0,0,05019
0.175,2570.0,1.3,0.623,0.377,0.198,630.0,0.86,0.14,3.02,17.61,1373000.0,7.0,7.0,South,West South Central,Southwest,0,0,05021
0.161,4010.0,1.3,0.511,0.489,0.184,880.0,0.83,0.17,3.46,20.14,2449000.0,6.0,6.0,South,West South Central,Southwest,0,0,05023
0.134,1020.0,1.3,0.49,0.51,0.16,250.0,0.62,0.38,3.4,19.81,613000.0,3.0,3.0,South,West South Central,Southwest,0,0,05025
0.164,3770.0,1.3,0.575,0.425,0.248,1200.0,0.67,0.33,3.37,19.63,2245000.0,7.0,7.0,South,West South Central,Southwest,0,0,05027
0.177,3670.0,1.3,0.636,0.364,0.223,1060.0,0.84,0.16,3.19,18.61,2071000.0,6.0,6.0,South,West South Central,Southwest,0,0,05029
0.154,16900.0,1.3,0.552,0.448,0.19,5250.0,0.66,0.34,3.39,19.75,10125000.0,3.0,3.0,South,West South Central,Southwest,0,0,05031
0.159,9630.0,1.3,0.544,0.456,0.183,2720.0,0.74,0.26,3.28,19.12,5586000.0,2.0,2.0,South,West South Central,Southwest,0,0,05033
0.142,6870.0,1.3,0.618,0.382,0.268,3530.0,0.7,0.3,3.3,19.22,4005000.0,1.0,1.0,South,West South Central,Southwest,0,0,05035
0.159,2690.0,1.3,0.588,0.412,0.198,790.0,0.81,0.19,3.11,18.1,1477000.0,6.0,6.0,South,West South Central,Southwest,0,0,05037
0.135,900.0,1.3,0.512,0.488,0.219,310.0,0.34,0.66,3.29,19.14,522000.0,6.0,6.0,South,West South Central,Southwest,0,0,05039
0.171,1980.0,1.3,0.739,0.261,0.303,900.0,0.73,0.27,3.35,19.5,1171000.0,6.0,6.0,South,West South Central,Southwest,0,0,05041
0.141,2470.0,1.3,0.675,0.325,0.214,820.0,0.67,0.33,3.37,19.62,1470000.0,6.0,6.0,South,West South Central,Southwest,0,0,05043
0.136,16810.0,1.3,0.518,0.482,0.137,3910.0,0.71,0.29,3.46,20.12,10262000.0,2.0,2.0,South,West South Central,Southwest,0,0,05045
0.191,3280.0,1.3,0.725,0.275,0.206,820.0,0.79,0.21,3.13,18.22,1813000.0,6.0,6.0,South,West South Central,Southwest,0,0,05047
0.172,2080.0,1.3,0.764,0.236,0.174,440.0,1.0,0.0,3.25,18.92,1194000.0,9.0,9.0,South,West South Central,Southwest,0,0,05049
0.165,16460.0,1.3,0.526,0.474,0.204,4110.0,0.74,0.26,3.49,20.31,10139000.0,3.0,3.0,South,West South Central,Southwest,0,0,05051
0.145,2600.0,1.3,0.455,0.545,0.136,550.0,0.68,0.32,3.56,20.75,1636000.0,2.0,2.0,South,West South Central,Southwest,0,0,05053
